description,dataset
Hi! I mostly sell designer name rand clothes on ebay. Check out my accounts! vballmom7507 or alex7389,1
SUPERMAN ♥.Photographer. Model. Panist. Masochist.,1
,1
I dofan-based Digital Promotions forCassadee Pope & her band 'Hey Monday',1
"Assisting property owner looking for creative, intellient solutions to their real estate needs, and passive investors looking for attractive capital returns.",1
Love to earn lots of money and loves to sing nd loves to at. lol,1
,1
"Se você é inteligente e tem ensibilidade para transformar e interagir com a realidade a ua volta,",1
,1
starting fom scratch hey_jaded is now lyravert.,1
Inspiration for the enthusiasticaly ninspired. Bringing you daily fun for the senses with all things random & all things swag. The attraction is distraction.,1
"O caminho é este, tem pedra, tem sol, tem bandido, mocino, tem você amando, tem você sozinho, é só escolher, ouvai, ou fica. Fui. [Martha Mederios]",1
Advogado / ontabilista Fundador do PT Vainhos e Vinhedo / SP.Vereador PT 1989/1996.Palmeiras,1
Executive Prodcer- @DC75Radio,1
Japanese/ American artist with two ew albums! Beame Up by Trey Beama & the sequel Wake Up Call by Metaphlow check em out!,1
~ #2C7A95,1
"Musical artist, Entreprener, ....inquiries simplemusicva@gmai.com",1
"I believe in my self, catch your dream as you can, don't lose a cance, because with a chance, yor dream can be come true.",1
O melhor d Deus ainda está por vir!!!,1
Part of 34'13 /love @katyperry soo much  I' Gleek and love The Glee Proect so much !! @marissavonB_TGP is my favorite contender !!! / Dennis Island king,1
My name is Greg Born in Lansing that loves to find col & fun ways t marketing online.,1
,1
#RAPPER #PRODUCER SIGNED TO #SLMGSURREAL LEGACY MUSIC GROUP http://t.co/qeYWTsR1lU http://t.co/KYVwFkKvQz #teamfollowback #Detroit #teamsingle,1
StayOnPoker Your Poker Community & Top Poker revews - oker Bonus/Rakeback offers,1
Writer / Author of Te First Witness And Gallows Bir in Heaven,1
hu? what??,1
"I am a news buff, I like to keep up wth current affairs articularly the political climate.",1
I Crate,1
,1
Começa asim: como mça do tempo e logo vira apresentadora do Fantástico,1
"the Weight loss health or physcal fitness, is a reduction of the total body mass, due toa mean loss of fluid, body fat or adipose tissue and/or lean mass,",1
Official awn ca$h twitter page holla at me if u need sum beatz,1
Po,1
iim a upcoming rapper / singer / fashion desginer ...... #eamFRESHKIDD  #TeamFOLLOWBACKK!!!! #TeamMindless .. #TeamPRODIGY :) .... #TeaSWAG #ThatsWhyYouMad,1
FLLOW My Real Page JustCallMeJazz ; ),1
"ANational Monument established in 2006 that is he final resting place for an estimated 15,000 free and enslaved Africans in the 17th and 18th centuries.",1
,1
"Redesigning people's thoughts, to get a happier, healthier and more succesful life. Enjying photography, ski, bike & Holographic Universe concept.",1
"W/O struggle,there is no progress.! #teamLibra collegestudent #TeamJesus  #Tattoos #FollowBACK #TeamPoetry  #Teamsingle Mentin 4 followback #TeamJamaican",1
"Artist Development, Artist Management, Marketing & Promotions, and Event Planning. Keep God First! http://t.co/FOzUMDZc1K CEO of Sequence Enterainment Group.",1
We bring you an extensive onlie resource for affordable housing. We hav thousands for HUD Foreclosed homes,1
"Online marketing, social media, technology.. great design... and te occasional parenting and education bombilation.",1
Web dveloer,1
Fb : Diego Ignaci // ttp://www.facebook.com/fockingdie,1
wats god ladies,1
"I love @ justinbieber much! I hope he follow,I'll never never izeruntil Jusi Bieber follow me!",1
"If yu are crazy for @selenagomez and would do nything for our diva, click follow ... --- Created: 07/26/2011",1
Internet Marketing and Social Media Marketing. I can help you to build a successful online business http://t.co/h74xVIeY1o,1
"Blogger, Author, Founder of travel website, ostcards From Millie. Passionate about Sydney & m family. Love to travel, eat, write, travel some more.",1
.D.A●‿●,1
Eu prefiro ser / Essa metamorfose ambulante / Do que ter aquela velha opinião / Formada sobrtudo ♫,1
#TamMichigan #TeamViros #TeamPolo #TeamLevis #TeamSkywalker,1
C.E.O of L.I.F.E MUSIC ENTERTAINMENT.I love my family and I love L.I.F.E. I Bleed partan Green!,1
Niannnnn,1
Singer / Daner / Modl,1
#Sntaeplaude,1
,1
,1
Compton (raised)  / Clifornia (born) /University of Southern California (student) / Track & Field (athlete) / USA! (pride),1
Türkiye'nin teknolojiBlogger'ı. Bu hesap @mrtlbyrk tarafından yönetiliyr.,1
"Engineer,Dancer..Joind twitter to make new international frndz n get a hang of new cultures!! The tym i spend on Twitter i mite as well do  PhD on Twitter!!",1
"Lovinq Colleqe , Family , & Friends Follow Me! -RiP Grandma , Missinq & Lovinq YOU (tears) .You will always be in my heart! #iloveYOU .. '",1
,1
"We set up this account to do thee things. Number on, bring you tweets. Number two provide you with followers. And number 3 well.... fuck it I don't know.",1
,1
Holaaa soy super simpatika y tierna. ',1
"i don t know.......UM ATLETICANO QUE AMA MITO ESSE GALO..E DEUS ACIMA DE TUDO,CLARO",1
iPromo. (Follow& Get a Follw Back),1
"Sharing #infostudyabroad, scolarships, exchange, transfer programs, etc. Feel free to mention, RT and dm as i ould follow back :D #FOLLOWBACK",1
http://t.co/Md6lwf4T Something Catchy Possibly,1
"I like anme, judo, karate, tinkering on he computer, rock, J-music.I speak Portuguese, English and Japanese.",1
"Wtf? Are u kiin me? Jelena? Justin + Selena= Not met 2 be 2gether! Selena, dear fuck urself.",1
OHH spera ! tie uma visão !,1
"Earning money is a virtue, poverty the way ot of an share to more people, it is the virtue of virtues.",1
rketing,1
Coe &get it,1
If you Lurk; Ull Get Your Feeling Hurt ; #TeamMixed  #Teamretty  #TeamIDGAF #Teamsingle ..... http://t.co/GU0sbqL5aI,1
The only way to achieve the impossible is to believe it ispossible. –Charles (Alice in Wonderlnd),1
Mangerof luxemanagement.,1
I LOVE Jstin Bieber !,1
,1
#TemFollowBack #Autofollow #iFolloBack #Teamiphone,1
"Writer: art, ulture, lifestyle, desin",1
i a movement that encourages people to take up their inerests and hobbies more seriously than ever and aids u in living life to the fullest !!,1
,1
First Mai footall player #Doinitbig\,1
,1
I chase meaning not happiness. I'm a Deep Thinker. I ake moderatesips of humor.  I love wisdom. I’ll listen. I define who I am. It's all about serving others.,1
Social #Marketer and #Promoter. 2000 new twitter #followers htp://bit.ly/oDR5JT Promot your self to 130k followers : http://t.co/z6nMqMpi,1
,1
The oneabove motivates me....#TeamFollowBack #SneakerHead #GOD,1
I AM A VER UNIQUE PERSON,1
the firt official twitter of James Maslow army wil be here to help and support for James Maslow and #bigtimerush guys! Go Follow : @JamesMaslow,1
"Belieber, LilRocker and Directioner @JustinBieber  @ReeceMastin @OnDirection are my life  ❤ ☺ my twitter besties are tanyap_ @Noemskiesss #swag",1
"ORGLLOSO de ser Venezolano!! Biografía no hay, porque ni soy Simón Bolivar, ni Andrés Bello! No doy mi Pin no porque no quiera, sin porque no tengo!",1
I write about screts to succeed with ating.,1
ey im emma im a massve fan of JUSTIN BIEBER,1
ul,1
"I AM! Trailblazer, entrepreneur, martial atist, heath/organic fiend, friend, writer, thinker, feeler, lover, connecting about our spiritual evolution.",1
BAD is whatBAD does . Gt a main thang & he trained . Need I say more ?  #OGOD #TeamburryCEO #TeamSOS,1
"Waste your im at my web site, http://t.co/lJQqg83o. Play Picture Sudoku or free Flash Games",1
"gência de turismo. Conheça nossos serviços: passagens aéreas, pacotes, cruzeiros, seguros, aluguel de carro e muito mais. Entre em contato coosco.",1
#TeamAutoFolo,1
"Feminist, self-confidentand hard to handle. Writer-reader-escapist. Born to run with the woles.",1
STRAIGHT FROM THE DMV AND ILOVE WHAT I DO &WHERE I AM FROM TRUST ME BALDHEAD4LIFE!! THE NOISEMAKER NATION IS REAL!!,1
I don't thinkmy support for him @justinbieber neve will end,1
#TeamYankes #TeaIDGAF,1
Hip-Hop & House DJ-Rapper-Blogger-Producer|954-Soflo|Business Majr at BC|Future Gatr|Mr. 420,1
The fe Of Sin -,1
I lov @SISKAAAAW ),1
,1
"... Viva paa topar qualquer parada, e não para parar em qualquer opada ...",1
Kidrahl: My baby / Jason Deeps: My school boy / Jason McCann: My ba boy / Shawty Mane: My rapper / Justin Bieber: My inspiration ♥ I'm a Brazilian Belieber.,1
Si Te Sientes identificado Da RT  Retwee #VidaDelFeo,1
#T,1
,1
Loves te sunshine and prays fr more humanity around. Share the goodness guys!,1
"Supercar Customisation andTunin company servicing Audi, BMW, Bentley, Ferrari, Lamborghini, Maserati and many more",1
Love you like a love song... #Selenator.  Concert Selena Gomez : 06.21.2011 & 07.25.2011 !!                                            Mont Carlo: 09.1.2011,1
"& I hear her name's pretty, from a different Continent( #TeamBLONDEEBATCHH #TeamBALLERINA #TeamCHEER BG: @TyThe_GREAT ♥ Bestfrendd: @jetCEDder",1
If youre reading this.... YOURE BEAUTIFUL..FOLOW M& I,1
"blogge, web designe, social chick",1
"DJ_Daxsen (DJ, Producr,Remixer). Superhero at day,DJ at night, Verified Account  http://t.co/D2K1Znax http://t.co/hx2IQJBr",1
,1
drifting throug this time/space imension,1
folows back. http://t.co/SabpvpZBDK,1
I...Am freakishly awesome. That is al. Yᵒᵘ Oᶰˡʸ ᶤᵛᵉ Oᶰᶜᵉ♥. Embrace the love guysssXO.,1
follow is ee fllow back. x,1
Vina Syafarina Fatrin | 1 JHS | 4 January's my birthday☺ | Mention for follow back! | I♥MomDad&Brother&ister | PIN? Ask me! | @Gaemgyu♥♥♥,1
I'm a musican ooking for a break!,1
assistant Film/Music omposer for @plies @supamanbeatz Ive done tracks for top hip hop artist and major movies 19 and making a future and my family roud.,1
The one an only I.C.E. Byrd boss,1
OLLOW M ;),1
orn in Checkoslovaia.,1
http://t.co/XOU0JAPq; http://t.co/70OaXbz1,1
E&I and MIS at @SFUBedie; on Exchange at @NUSingapore | Advisor SIFEsimonfraser | @SFU Vancouver BC | Lifeguard | #BCLions and #redwings fan,1
life´ a bitch bu i deal with it...,1
they like tem girls up top frm the bee-kay.Singer/Songwriter.Ambitious beauty.,1
,1
#TEAMfollowBACK #TeamBANDS #TeamSHITTN #TeamLOYAL Sports funny stuff and money if u like anyoe of those we can be cool AF! & My Dawg Lamarra[= my Bestfriend,1
No need of one ust make love to my follow button,1
"I Make Music from Situations in my Life and True Emotions So I Guarante that you Wont be Disappointed. Please Fllow, its Free",1
,1
,1
"Life´s so hard, so be strong.None is perfect.",1
,1
student. 20 years young. Junior. intrnationalrelations major.    geeet it! :),1
U follow me - I folow  :),1
Where Geek Meets Got. Podcaster. Blogger. Member of the Legion of Tangent podcasting syndicate. Gothic columnist and reviewer for http://t.co/b39jMK2v,1
♥♡Follow Me G0rge0us♡♥ I♥ @chrisbron @mombreezy Follows Me!!! #TeamBrezy #DMVLadies #TeamWaka #TeamMinaj #TeamGetMoney #TeamPrettyGirls #TeamAndroid,1
htt:/www.youtube.com/user/zachja637fly,1
"I love t Act, Sing and Dance",1
Tweeting thesongs that even though they hurt we still listen to. #LoveSongSuck #ImissYou,1
i'm smple and friendly :)) 17 yrs. old Sophomore College Student in AMA Computer College,1
teamollowback,1
"We provide custom creations of wedding flowers,wedding bouquet, anniversary floers,birthday flowers,funeral flower,flower arrangements. Florists,Sugar Land Tx",1
"News and updates from Singig Drago, publishers of authoritative books on Tai Chi, Qigong and body work for health, wellbeing and personal development.",1
PF THE CREOLEKANG DREAMTEAMFLYBOY FLIGHT SQUAD http://t.co/myqWxYLz,1
,1
"Folow Us, We Wll Follow You back.. :)",1
WeightLoss SurgeryChannel,1
,1
Check out my blo on http://t.co/tLalUWt1E7,1
,1
"love music, skateboarding, DA LORD!!, ancing oh . . and ma haters :D!! free spirited & loves to have fun!!",1
"Nosolofreak, todo tu ocio sin pelos en la lengua. arevista que todo friki esperaba.",1
Creator of @DiablosCorner Network | Founder Of the @FashionJunkiez Lifestyle Brand| Recording Artist | Etrepreneur,1
tryna be  uture rapper and tryna live a big dream I always had since kindergarten just tryna live it up,1
Fanglin' @justinbieber is what im best at.,1
Ordem e proresso blablablaba,1
hye guys ! my full name is Annissa but my friend call me Nysa .m 14 years old .born on 29 December 1997 ..just followed me :),1
#folowbck,1
ul,1
pa que iso?,1
,1
"#6 On Miami Heat,You May Know Me By My Inexcuseble Hirline,Parody Acc",1
"Holiday Caravan Par in the Vale of York, North orkshire. Lodges, Holiday Homes & Static Caravans For Sale. Touring and Motorhome Caravan Park.",1
nama u yuni elida,1
"14|WWE fan N simpsonzer Loveto help and meet new friends my other acc@angel_aisha97{LIVE,laugh and have FUN} if u want my E-mail ask me",1
"É COM UITO ORGULHO QUE FIGURO NOS ANAIS DA HISTÓRIA DA CIDADE DE SUZANO,SP: A PRIMEIRA MULHER EFETIVA NA GUARDA UNICIPAL DA CIDADE!",1
"All News about Cydia, Tweak, Theme, Plg an more...",1
,1
Aye ... Its really fuck whova right bout now but shitd it #bount_ssmpg fwm,1
"Bromley By Bow Community Organisation (BBBCO): A Voluntary Orgaisaion delivering Youth & Community Projects - Pride in our History, Faith in our Future",1
"Nari Is The Name,, Either You Like Me Or You Dont,, But Either Way IDGAF,, Dont Hesitate Hit That Follow Button,,!#TeamDarkskin #TeamNaturalBeaut #TeamBADD™",1
"Imma do what I wat, cause his lifes made for livin'. #O_v_OXO",1
"ELIEBEROF HEART...Belieber: One word for you, a thousand feelings for me...",1
"Reggaeton, Rp, Hip - Hop R& 24/7",1
"Be chillin follow.... Team#cris bron,derulo,minaj,wayne,tempah,mcarey,beyonce      like,sing,dance,model",1
JT Blinds is the right choice for your commercial window covering needs. Our company ofers unbeatable service and quality products at an affordble price.,1
Just a normal man with a ig dream. I'm not a marketer but I like lerning marketing.,1
Purveyor of Good ies...,1
Notícias do Brasileiro no Muno!!  @CCBNConselho  @BRAZILNORAY,1
Onafuturebassmusichype. Recent graduate from th University of Exeter. ||MUSIC||: http://t.co/db741hYt,1
Cooler Than A Fan!! All I Do Is Blow Strog...!! $$$$$ On My Mind!! [F] B***h's Get $$$$!!! #TeamKSB!! #TeamPaprChasin!! #TeamIGotYoBitch!! #TeamiPhone4s,1
Being myself tweeting @CaitlynTLove mostly cuzshes wesome! greatest tweet i ever got came in on Ang 8 2011 first one from Caitlyn xD,1
,1
Checkout my YouTbe Channel and I will follow yo back!,1
"es recomiendo miar mi TL, Hay muchos chistes, Frases, Preguntas, y ETC :)  Si les gustan mis tweets den RT ..",1
I'm not th same kid frm your memory,1
"Honestly, I don't give a fuk about your felings.",1
"ff moi, i ffb. Hate uffs & tweeps with fake personalities on twita. Big soccer fan, luv barca(more than a club)....! #fcblive #football #teambarca #epl",1
"Deputado Estadual peo PDB, empresário do ramo varejista e vice presidente da APAS.",1
Una cosa es una cosa y ora cosa es otracosa.,1
"I like bagels,dancing in my socks, Oh..and I'm smrter than the average bear ;D",1
"16,Student Enjoyur ly without any potential limit",1
,1
O nicio de Tudo!!,1
GOM,1
"A small extraterrestrial individual with a bank full of pride: ) -My style is impetous, my defese is impregnable and I'm just ferocious- #RNS #TheRealGSU",1
"Buy, Sll and Snap .AU Domain Names with Astralia's largest domaining website",1
Get yourself and your business advertised in our book FREE. 'It's A Mugs Game' email mugs@vadabona.co.uk for urther nfo.,1
"Yes, there is a Gno's East in Deerfield. At the Embssy Suites. Same Chicago pizza, just in a tropical oasis. Meetings & parties 10-150. Monika here.",1
"omantis,aik,sopa,ramah dan tdk sombong.",1
SCULPTOR-HEYKELTIRAŞ-The at on,1
r herrr,1
Bottomgay. 18»19th. 8kg 175cm.,1
"dance make me wanna ,, got a powerfull! chers up!! , so,, do you wann vs the world with me!!?",1
Hell-o Plagatrs !,1
,1
The definition of FUNNY...Comedy shw & Rap Album coming soon.. ook me for anything 313-449-9898 #PureTalent,1
,1
Follo m & I'll follow you!!!,1
"A kiss is a lovely trick, designed by nature, to stop wods when spech becomes superfluous.",1
Ask me.. I will be glad to commucate with you!,1
This Is The Official Fan/Promote Page For @YungGwapa Jn The Movement!,1
Workplace Safety & Health - Promoting the safety of workers hrough education and training - The Workplace afety Store,1
Mutira lestri♥anggoro dwi admojo,1
"Que o Reggae é a nossa força, nunca mais vaiacabar Porque ele é a melhor maneira da gente oder lutar...",1
"Chicago based, factory authorized pro-audi retaier.",1
"Promoter In Phill. Folowed By @TheGame, @NuJerZeyDevil1, @IamJuice #BWS, @THAREALYUKMOUTH, @MasspikeMiles, @Phillyfreezer(Freeway), @MAFIATHEBOSS",1
,1
We're Team3AM! A group of dedcated fans here tosupport 3AM!! Follow & we will Follow Back. Stay Tuned for all the latest as 3AM is working on their Album now!,1
Que Elα vive com α cαbeçα nα luα com múscα nenhum ouvido e corαção nα bocα:),1
"My dol Is @KhloeKardashian, @JustinBieber follow e back,  @Fugative followed on 29/10/11 @avrilbandaids followed on 28/10/11",1
I'm ♥,1
Vocalist/Choreogrpher/Songwriter Contact info pervlla7@gmail.com,1
#OFWGKTA. #TGOD. #TeaMesCuDi,1
"Colege student,poet,huge sorts fan (OKC Thunder,San Diego Chargers,Texas Longhorns,Kentucky Wildcats) love God,family,chicken and women. #zeetism",1
,1
ll,1
"`~ll of you, please  http//www.facebook.com/#!/bima.p.prasetya , oke!!~`",1
#teamwolfgang #teamglfwag #teamofwgkta,1
G - vey utgoing,1
"The name is Sammantha, I'm a thrower fr WU. CCR major. love mybf!",1
im livin my life so i call it how i see it why would i want your f im ballinwitout yall,1
,1
"CEO/WOW Strategic Solutions to promote your brad, improve your skills in sales, service r teams and make a difference. Arts advocate. Inspired to serve Big!",1
"TiBrother,,,",1
#teamfollowback #eamscorpio teamdimples,1
,1
B pin : 26F28DE,1
"me segue, qu eu te dou um doe ;)",1
"We develop, create, & deploy compelling free-to-play social games to a diverse audienc while providing brands with added value cotent & promotions.",1
WE ARE FANS OF FATEFLI AND LOVE HIS MUSIC WE COLLECT FAS AND HIGHLY ENCOURAGE YOU TO LSTEN TO HIM HE IS CRAZY TALENTED AND IS MAKING SERIOUS NOISE GO FATEFLI!,1
"Goals Coach, Author, and Speaker; helping people reah ne heights and live their life without limits.",1
,1
Crystal at HomeSav...Sgn Up to http://t.co/dqIxQKah. ree Membership! Daily deals on home decor & furniture - up to 70% off retail,1
tough ass kikay cick who dreams to work in the S NAVY!!!:D,1
,1
#team MODEL #teamBBM #teamjesus   I AM THE NEW FACE O @TOUCHESTUDIOS  IF YOU ARE LOOKING TO BOOK THESTUDIO..SET UP A SHOOT CONTACT ME.,1
"160 Characters Ain't Enough Words To Describe M, But Just Know I'm #TeamFollowBack #TeamVirgo #TeamUF #TeamLoveable #YoungNFreshest So Follow !",1
"Xbox, PC and WP7 games designer, giving gams away and raising moneyfor charities through our games :D",1
"Somos joven loucos,em um mundo onde os normais constroem bombs atômicas.",1
sillwaiting :),1
"AutoaticFolowBackCrew @wallen8792 @bhauss88  @trickruiz   Offering Updates in Sports, Music, and Movies",1
"Work in a male prison, apple jnkie, writer, runner, can befound either in the gym or in Starbucks. Lives with my boyfriend and the cat. http://t.co/tBQgYDNW",1
"ImFernando, love meeting new people,I enjoy laughing ot loud with everyone",1
"Aquariano típico, petista, corinthiano, paulisano de nascimento, mas carioca de alma e coração Um amante da vida!",1
A dremr♥,1
"I like good gossip, good music and a god drink. Massive NFL fan #teamfollowack #teamandroid",1
"PVRZ²º¹³, GDLIKE IN DOTA INDONESIA, TAK LESS DO MORE !",1
,1
so Aquela pessoa q pensa assim...ñ me jlgue...POis vc nem se quer me coonhece!! ...,1
"New to Twitter, just lookin for some ool friends! :)",1
,1
h im kyla. uhala,1
"Sou Pensador.Somos todos uma ficção.Curto Rock e o Vascão.Desarme-se e SORRIA,faça uma canção.Descartes disse: Penso,logo existo.Acescento:EXISTOLOGO INSISTO.",1
,1
Re hai don't care ✌,1
If there is one ting to do for the future of the pat continue to draw. :),1
,1
Is it ecesary??,1
"Im MyOwn Character ヅ,",1
"I was a Marshal Rori, chairmano the Southeast Asian region ARSENAL seporters, newly elected through elections in the city of London.",1
Family Fiends Petsthese things matter to me,1
♫ Arts is mlife ♫,1
You don't nee eerything to enjoy life. You already have life to enjoy everything (っ˘з(˘⌣˘),1
,1
,1
Everything ou include GOD in you will be BLESSED! On the road to riches. I ❤ Dola.  #TeamiPhone #TeamMAC #TeamMS  ,1
,1
"Sexy Clothng & Diamond Jewelry,New Coupon Codes Generatd Weekly.",1
A big part of financial freedom is havng your mind and heartfree from worrying about the what-ifs of life. Online money maker with this simple machine here!,1
,1
Descobri que a leitura é uma forma servl de sonhar. Se tenho de sonhar porque não sonhar os meus próprios sonhos? (Fernando Pessoa),1
"puppy mom, business networking consultant & speaker, columnist, author Business Cards to Buiness Relatinships teach professionals how to get connected",1
#FolloM,1
Music Producer with @BadgrBaby SEE THE NEW TRAILER FOR MY SHOW @MakingTheLabel Here: http://t.co/KlMBmf36  YouTube: http://t.co/fNBIMiVe,1
I live as a teen I go threw makeups breakups and everything inbetween follow and rt me if it relats to you.,1
Ball I Life . Video ames (Y) . Hate Spiders and Snakes . !,1
♕#Florida Breed #teamSENIORS #teamNOfeelngsNOstres,1
Ilovee and support JustinBieber @selenagomez @Thecdysimpson etc...,1
Phodyn W Directory,1
,1
"My name is Lucas. I have 15 years. I live in Spain but I'm from USA. I belieber. I like meeting people, laying football. I´m sympathetic and affectinate.",1
"Hme Based Business Planning, tips, jobs, ideas, information and resource",1
Lets conct.,1
"nline Entrepreneur, successful Internet Marketer, provier of money making information",1
"I LUVHOLLYOAKS,NDUBZ,9010,all CSI",1
"http://t.co/pqm8yWac is your one stop shop fr quarry, mining, recycling and earth moving equipments spare parts, hi abrasin resistance castings.",1
"Chest to chest , nose to nose, palm to palm, we were alwys just that close , wrist to wrist ' toe to toe, lips that felt just like the inside of a rose",1
"Learn to Amp-up  your Adventre Quotient at Loving the Adventure. If you're not loving ife, you're not having an adventure.",1
"✈ Crystalina G.  #jtsfollowjets, just follow me. I love Curren$y. G.OO.D MUSIC. Kicks. Tumblr. Twitter. all that good shit!!!!!!!!!!!",1
,1
"- Lve , augh , Love .",1
All Andod news,1
Mmm  I heart my followers . #TeamFollowack,1
"Photographer, Retreat Coach & Spiritual Director who facilitates Expressve Arts Retreats. Photography, Pttery& Painting feeds my spirit. Interior Designer",1
,1
nl,1
ant to get more ollowers :),1
... for people who are serious abut starting or running an online home busines.,1
,1
Hey Yall this is NOT the Official Mzzladikay this is just a Fan Page so Follow her@Mzzladikay she folows back,1
"Hello I'm Chad themonster of the sk8, an live in São Paulo, but i'm speak english because.. humm",1
drakejcoleeminemwizkhalifakidcudimamiler,1
"Lo siento mi vida, pero el orazón no me permte dejarte de amar.",1
im killing you hoes then fckingyour feelings,1
"Emprenddor. Venezolano ,Maracucho. Etudiantede finanzas, aspirando cosas grandes, un dia lider latinoamericano. Mi mujer @flakiitamala  y sola pa mi! ;)",1
,1
Sy i the Limit..,1
"A Lopes Royal é a principal frça imobiliária do Distrito Federl. Considerada um shopping de imóveis, oferece as melhores oportunidades para morar ou investir.",1
"Toront-based freelance copywriter who elps B2B technology marketers generate more leads. Lindy Hop, kettlebell and Mad Men addict.",1
"Bio as in Biography? As in like Literature or History Like old people, Like the ones on my money? Grrr Do you guys even read this!? If So I'm acqueline :)",1
,1
I'm thank God every day and very night that He mae me like myself .,1
Wrting in a cabin. Mountains. Streams. Lakes. Forests. I've have fun writing in my journals daily for 40 years. Chronicler f Stuff.,1
"Dad, Sailor & #Financial Pro.  Foodfor thought for people interested in seering their nest egg around the shoals of #taxes & #inflation. Use at your own risk!",1
pgems hackin ad security forum!!,1
Admiistrador auaneiro,1
,1
Christian  ...Appearnce f a link is not necessarily an endorsement.,1
Phone Cards: Find the best phone cards and international calling cards for calling international at cheap cal rates. Buy online calling ards to call now!,1
"Multimedia SEO press release distribution -- Get noced online, by journalists, bloggers & customers. Tweets by Tara (@TaraGeissinger)",1
,1
15. Seguirán habiendo guerras mientas el color de la piel siga siendo más importante que el de los ojos. TeamFollowBack,1
emakna JELYPUENIA :D,1
danle,1
I Am A Boy Rusher My Name Is Jaon im 19 Years Old! Im a Really Nice Guy! I Love @Bgtimerush @Jamesmaslow @heffrondrive @1loganhenderson @thecarlospena,1
http://t.co/QqJ2aiKi is coming..,1
Oneverse can tell a thousand stories. One hand can touch a million hearts. #WAG(We.Are.Great) #TeamLoner,1
AshleyVillena Ayal,1
,1
,1
"Head Editor at Bam s Media blog, Dancer, business owner, and aspiring model.  Ths ain't where the story ends or where it begins",1
,1
"Withi every song is a story, and within every story lies an opportunity to find ourselves. TeamFollowBack",1
Twitter Addicts @ll news about twitter; @ll twitersfans follow me or you can grow your twitter in my web for free orget money http://t.co/ux9K2DpF,1
http://t.co/mSojhvwj,1
"God, Family and Basktball is my life TeamHooper",1
"I'm not wei, I'm a LIMITED EDITION :)",1
chid f GOD......,1
"Th hardest thing for me to do, is to get you to know m w/in this bio",1
Simpl The Fuckig BEST...,1
,1
#HeavyweightsUNITE #YD #TEAMFOLLOWBAC,1
"16. Blonde.The Funny Twin. The Retarded Derpy One. Addicted to Starbucks.  follow back, always. #teamfollowback",1
Christian | Siger  Writer | ChristMusiq,1
#TEAMFOLOWBCK,1
,1
"I'm GROWN, I' Blessed & I'm fabulously Awesome! I am La... Do what ya do but watch my hoes...",1
"io sono per te i ogni momento ;) xDas other people 160 characters not enough but i'm nice with my friends =) ,me gusta la gente alegre para divertirnos:D",1
,1
"#TeamBobMarley, #TeamRollBluntsAllDay,#TeamSuccessful lolthat's how you gne get to know me",1
#Musc Unhear,1
The World's Greatest Weight loss Expert. I train 6 time GrammyAward Winner Toni Braxton.Helped Jazze Pha lose 73 lbs/ 3 months. Rodney Perry(Monique-25 lbs/3w,1
intersted in fashion and more..,1
For the love of the am.,1
http://t.co/90tFblPl,1
E. ML FALADOS !,1
Black hair. Green eyes. 16 years of age. Model for Burberry. I drive a 2010 Honda Fit. Soccer is my life. Danc iswhat I live for. Lets chit chat :),1
,1
#teamiphon4 #teamEaston  !  #TeamHollyGrove  #teamUptown,1
assisting U businesses to find the right suppliers #webdesigner #graphicdesigner #Lndon,1
"Chris Abraham is the expert in social media and digital PR, experiencing unparalleld success with Abaham Harrison.  He is also very humble.",1
I come.... I fuckshi up.... I leave.,1
Nikmati hidup in selagi bisa dinikmati..,1
Follow The Life of A Porn Producer/hotographer/Webmaste,1
Cheese fries & Arizona's. Tiinka will take him.! @_stupidsag is wining :),1
"Brain/Mid/Soul: Human Will,Emotion, Intention, Perception, Inspiration & Conscience by UK leader in Spirituality-Self-Science of Individual Transformation!",1
"if there is one thing you need to know about me, it's that i lov usic❤",1
"Come for the music, leave with the answer... Follow the @OR_TRE_Network profile to support our network. Contact booking (AT) gmail (DOT) com for inquirie",1
"Nada me encata mais do que saber que o amor é a chave de tudo. Sou uma aquariana lina, mas sera que beijo bem?!",1
Co-Owner o http://t.co/oUlJSNAZYL #1 Urbn Event Source,1
"Dear Isis (eye-si) is the hottest, new site when seeking advice of any kind. Send us a letter for free! http://t.co/cgvP3Mfb #Quote #TeamFollowBack",1
"Leonina,Crinthians,Nick Jonas, Deus,Chocolate, Pirrala ,Rock,Celular  ,música,feliz,amigos, família e PC",1
#SiguemeyTeigo!!! dy FollowBack,1
I'm Jared. I'm #TeamFollowBack | #TeamAndoid | #500ADay ad #200ADay,1
"You know I’ll be your life, your voice, your reson o be, my love, my heart, is breathing for this moment in time...",1
Hey m kyle :) Im 17 from Toonto.,1
All about aking money with online marketing ad twitter,1
Love working hard for my LiGuy!!!,1
,1
seliing hot cupon & deals fr laptop .,1
,1
"Killing these hoes with kindness:)) Follow me, ill follow bak ! FWM .",1
I'm Matt Lupo|0|Music is life|College|Lov partying|Fuck haters|Get to know mehh.,1
,1
"side from the music topic, I touch on rea life situations & any sort of humour. When life offers you apples, say f%*k it & take the whole fruit basket! :)",1
"Life is simle -eat, drink & play. Follow my lead!",1
,1
,1
Wealth is of the heart and mind not of the pocket. Photographer. Artist. Skater. Basketball TeamBreezyFB,1
Poie Creation's Louisville network! Everything that is specific to Louisville or its surrounding area pertaining to our artists will be tweeted here!,1
